4 3.2604117409925895	25 3.188386131035603	27 3.188386131035603	29 3.188386131035603	33 3.188386131035603	41 3.188386131035603	57 3.188386131035603	26 3.169812691920138	21 3.1680070170221017	5 3.133859543686202	15 3.1234682666558933	6 3.0931888925915816	16 3.0247686702493732	35 2.9729428704021106	24 2.8919815092627634	38 2.8517792510052637	42 2.8517792510052637	0 2.6165124468329153	23 2.4299410581578207	7 2.1272615406496476	
22 2.856980430460437	36 2.734253561359125	6 2.457118735408714	16 2.4484117019205103	35 2.428290567122631	42 2.394450986668372	25 2.3884024528961487	27 2.3884024528961487	29 2.3884024528961487	33 2.3884024528961487	57 2.3884024528961487	41 2.3884024528961483	5 2.3646560794333285	15 2.3448213317607123	26 2.324812087972758	21 2.2416613522601567	38 2.136252096921211	7 2.134806845549815	24 2.0463474815340374	3 2.046323082644523	
36 5.610941654206909	5 4.9472380803220135	25 4.943174758686337	27 4.943174758686337	33 4.943174758686337	57 4.943174758686337	6 4.904049147956589	16 4.830928689147917	15 4.811333005510871	26 4.670861106648488	35 4.666409212259679	4 4.660469856609713	32 4.467289188413547	21 4.4213099140335075	24 4.036085289395632	18 3.8944271909999157	34 3.4953523924572845	0 3.1263382219404043	39 3.1263382219404043	31 3.1121421673260814	
25 7.977642450363458	27 7.977642450363458	29 7.977642450363458	33 7.977642450363458	57 7.977642450363458	6 7.9246117198552035	5 7.864951434211934	4 7.753701241064448	26 7.615315236500207	35 7.577733085097113	32 7.408511992240856	21 7.317994513515329	38 7.135420327680273	34 5.9297202091284795	0 5.645504100319058	31 5.380000425131478	3 4.56742497482994	18 2.0905433261381	46 2.0905433261381	47 2.0905433261381	
16 5.216107010462317	6 5.206574062328184	35 5.174151664692392	42 5.152930346405832	15 5.022195382361485	4 5.0172932792716205	25 4.972476134347676	27 4.972476134347676	41 4.972476134347676	57 4.972476134347676	36 4.87591400767562	5 4.849304806617357	26 4.806504091193974	38 4.447517861158712	24 4.24258394827465	34 3.8322993599023505	39 3.744870039073616	23 3.6914831977469182	7 3.4906397176537274	3 3.3478917497732765	
5 4.549745250082611	25 4.529775975208627	27 4.529775975208627	29 4.529775975208627	41 4.529775975208627	57 4.529775975208627	16 4.493885135846985	36 4.441810786498572	15 4.408960176613975	26 4.339106219994235	42 4.329535906179287	32 4.2148704295527155	21 4.190867231884743	38 4.051554801364756	24 3.8257208640208464	34 3.423307602734483	31 3.11022220531236	0 2.864881874393935	39 2.864881874393935	7 2.751350142143355	
36 3.065505265167803	22 3.008054451342386	6 2.736749183569293	25 2.7262142332224104	29 2.7262142332224104	33 2.7262142332224104	41 2.7262142332224104	57 2.7262142332224104	16 2.7061797353370345	4 2.684393015484035	26 2.667508696282984	21 2.6548774997012057	15 2.6535020833215093	5 2.6213202716426114	42 2.6079160145903124	38 2.4384001386851097	32 2.3858229098830304	34 2.270005332615553	2 2.0	47 2.0	
4 3.496406484114398	6 3.48930736174295	16 3.4577686882336556	25 3.452358135880462	27 3.452358135880462	29 3.452358135880462	33 3.452358135880462	41 3.452358135880462	35 3.3934183682008703	15 3.360278658329272	26 3.3466872341407936	42 3.346081879548428	5 3.3195250234816953	32 3.212320737847623	38 3.087882989801267	24 3.0014127999194704	34 2.7574136149824606	22 2.613780289761955	23 2.441185848965623	7 2.3265532324229126	
36 6.817281142695387	25 6.75228991525038	27 6.75228991525038	29 6.75228991525038	15 6.734417816763759	21 6.676569978026212	5 6.492488454926864	16 6.482481165077692	35 6.342615273715479	42 6.147896930623784	24 6.0948466395445475	32 5.973775576029916	34 5.781994056420508	23 4.7745899876110816	0 4.270523110795303	39 4.270523110795303	31 4.174547172106958	7 4.034519163704156	22 3.9141430418571437	3 3.79443758280784	
6 2.9416856346895353	42 2.8675687649112573	27 2.8584009503451977	29 2.8584009503451977	33 2.8584009503451977	41 2.8584009503451977	57 2.8584009503451977	36 2.8028927352850626	15 2.7821631859591216	5 2.7484209657161953	26 2.7152617284922735	4 2.712794802699512	21 2.590534707949786	38 2.5566315327687454	32 2.5005931205048366	24 2.364823825906926	34 2.0748003220810514	31 2.0517167987349416	23 2.0211946953391613	0 1.8078114938161365	
36 5.196776678951929	4 4.928722094101631	25 4.9208077005519755	27 4.9208077005519755	29 4.9208077005519755	33 4.9208077005519755	57 4.9208077005519755	26 4.834833685298008	15 4.809683600683085	5 4.799624370185695	6 4.773884685347895	16 4.668288078432012	35 4.5602041248758765	42 4.401304209055458	34 4.084439394586934	23 3.6549480978366895	7 3.127475600159839	0 3.1121920522880084	39 3.1121920522880084	31 3.055864112755896	
25 5.570645395919555	29 5.570645395919555	33 5.570645395919555	41 5.570645395919555	57 5.570645395919555	5 5.550566124463199	15 5.515726657607826	36 5.462467226365311	6 5.404319851820479	32 5.386238017622228	26 5.385460343774813	16 5.284778246470873	21 5.270520154702942	35 5.116532216618933	42 4.982536713528941	34 4.394382936301817	0 4.123185497647248	31 3.685629715715392	3 3.327357717683205	22 2.4912683567644707	
4 5.019644801502999	15 4.928288397180995	26 4.913306298091375	5 4.875812041082268	25 4.868890556597565	27 4.868890556597565	29 4.868890556597565	33 4.868890556597565	41 4.868890556597565	57 4.868890556597565	6 4.723517657511558	32 4.712879275854804	16 4.619035151079979	35 4.5168244883506246	24 4.446681812803073	38 4.354868103823577	42 4.354868103823577	39 3.6793567673866527	7 3.1959554529661816	31 3.1959554529661816	
15 5.581502461885157	21 5.498120515077572	25 5.471556944076841	27 5.471556944076841	29 5.471556944076841	33 5.471556944076841	41 5.47155694407684	26 5.425461178525948	6 5.308189933414258	5 5.261033032610324	16 5.190774687178009	32 5.124793544984657	35 5.079995329580955	38 4.893909307886733	42 4.893909307886733	23 3.8689750188050773	31 3.628420971370418	0 3.460516458118672	39 3.460516458118672	3 3.4444801584285147	
36 3.0869692557288455	22 3.0178435371672907	21 2.939095081015916	4 2.9322132378903594	26 2.823462838190527	16 2.8036420211269917	25 2.7481032945644754	27 2.7481032945644754	29 2.7481032945644754	33 2.7481032945644754	41 2.7481032945644754	57 2.7481032945644754	42 2.7359594151494484	5 2.7105170526839846	34 2.70391488291607	15 2.694928422064917	24 2.6830144575414856	38 2.457978310334918	31 2.1603247022585323	23 2.1186140788490384	
36 3.9866887593153657	4 3.9214124046292076	25 3.8656407556740118	27 3.8656407556740118	29 3.8656407556740118	33 3.8656407556740118	41 3.8656407556740118	57 3.8656407556740118	6 3.858687616282604	15 3.8561970029567676	16 3.808690177408611	35 3.7314334381776524	21 3.724623813820205	5 3.71690615955693	32 3.6662023871934712	38 3.4575342025122975	34 3.1557265475192087	0 3.0448458807808674	31 2.8233609539592734	23 2.7334207919681837	
36 6.409296306656748	25 6.336225387208184	33 6.336225387208184	57 6.336225387208184	5 6.286689619921869	6 6.223738037515209	4 6.140517251228354	26 6.120800844315783	21 5.983520040639808	35 5.93764753577424	42 5.80871363086028	32 5.696916934174446	38 5.66729227462297	24 5.462181499237753	0 4.0073807983520355	39 4.0073807983520355	31 3.840795618785841	7 3.751880014108955	22 3.728073328311401	3 3.1951495971258854	
4 5.775362825362363	26 5.511453537325448	6 5.475676647500624	16 5.430166658376306	25 5.405098474598499	29 5.405098474598499	33 5.405098474598499	41 5.405098474598499	57 5.405098474598499	36 5.30013511439776	15 5.287973438928306	42 5.262181811365429	32 5.2366670796879555	5 5.197131622683341	38 4.834467045713065	7 3.838868572098963	23 3.821981784369663	0 3.4184844314466036	39 3.4184844314466036	22 2.4172335228565327	
21 3.1657376577011576	4 3.056734690253128	25 2.944911182523068	29 2.944911182523068	33 2.944911182523068	57 2.944911182523068	34 2.9231040692969157	24 2.889909877110821	36 2.887722997208217	15 2.8663660627965992	6 2.856983497318875	5 2.8316026256711853	16 2.7937880531018227	35 2.7691741979156688	38 2.634008636728348	42 2.634008636728348	32 2.58033929993821	23 2.082366667154156	0 1.8625253687345484	39 1.8625253687345484	
42 2.8972757051102778	35 2.847022403911634	6 2.8233046017611425	25 2.5811388300841895	27 2.5811388300841895	33 2.5811388300841895	41 2.5811388300841895	57 2.5811388300841895	36 2.531014858056026	15 2.512296054912307	5 2.481826797311566	26 2.43894694419106	4 2.4335210265819236	21 2.3086407533730107	38 2.3086407533730107	31 2.2501456533895836	32 2.2410560880917476	39 2.2324555320336756	24 2.107491029663532	23 1.8251407699364424	
6 6.388328536070933	25 6.2497404236653695	29 6.2497404236653695	33 6.2497404236653695	41 6.2497404236653695	57 6.2497404236653695	35 6.227628116891838	4 6.133803797799526	36 6.128374687530646	26 5.989965039660715	32 5.729399740401536	38 5.58993777161764	24 5.285465873443628	34 4.735461600246307	23 4.613491006700922	7 4.035281230459989	0 3.952682904721652	39 3.952682904721652	3 3.536807294814229	22 2.79496888580882	
36 5.041709058765408	5 5.0138301587973055	4 4.988140153067847	25 4.941554574500464	27 4.941554574500464	29 4.941554574500464	41 4.941554574500464	57 4.941554574500464	15 4.923535706096923	6 4.794012109510482	26 4.777285963513286	16 4.687970291233704	35 4.548128699307241	42 4.419860777243234	24 4.217336600382449	34 3.8104345152495207	31 3.401175659348233	3 3.165764303183004	0 3.1253135274891357	39 3.1253135274891357	
22 2.6443523189929277	35 2.3049060453074963	36 2.268035585627405	42 2.2666746983954784	21 2.2636187248250965	34 2.226434455089916	16 2.2077094425183352	24 2.0663917286296414	26 2.04109508022631	2 2.0	46 2.0	31 1.9579041286434027	25 1.9129515417273955	27 1.9129515417273955	29 1.9129515417273955	33 1.9129515417273955	41 1.9129515417273955	57 1.9129515417273955	15 1.8619303059198078	5 1.839348718047324	
42 1.0	16 0.9899494936611664	35 0.983192080250175	6 0.9761870601839528	25 0.8944271909999159	27 0.8944271909999159	29 0.8944271909999159	33 0.8944271909999159	41 0.8944271909999159	57 0.8944271909999159	36 0.8770580193070293	15 0.870571500132014	5 0.8600131635675317	26 0.8451542547285165	4 0.8432740427115678	21 0.7999999999999998	38 0.7999999999999998	32 0.7765802747153208	31 0.7745966692414834	24 0.7302967433402214	
42 2.1999809303992315	35 2.1621998816320778	16 2.136970019098792	36 1.9988015704155826	31 1.9936051852430636	25 1.8383856422697913	27 1.8383856422697913	29 1.8383856422697913	33 1.8383856422697913	41 1.8383856422697913	57 1.8383856422697913	5 1.8358017444110581	4 1.8209524073773107	15 1.8094742797670094	26 1.7605515127175029	22 1.7165782439948885	21 1.6443021059899454	38 1.6443021059899454	24 1.5010355913399063	23 1.4753465579463616	
6 4.422209556019652	16 4.403448817591227	35 4.332297195547333	25 4.308309274521201	27 4.308309274521201	29 4.308309274521201	33 4.308309274521201	41 4.308309274521201	57 4.308309274521201	4 4.3034049567773485	42 4.300682557868841	15 4.287058900260212	26 4.155485036735781	32 4.095255855739609	24 3.7002939780608277	31 3.3980871219199353	34 3.362662469479674	23 3.240691875934289	0 2.7248140343829257	39 2.7248140343829257	
6 6.145908124138007	27 6.144196749911476	29 6.144196749911476	33 6.144196749911476	41 6.144196749911476	36 6.024880600606152	15 5.980321970865912	4 5.959470915742335	26 5.939350837569456	35 5.932471570584534	21 5.811764405990972	38 5.495536639974134	32 5.4028066163436295	24 5.305390773444781	23 4.538860359278203	0 4.485931224384844	31 3.988126723097631	7 3.5473536475154144	3 3.072098374955738	22 2.747768319987067	
36 4.410270801115909	4 4.298263825665917	6 4.1152949523922455	25 4.097611375023701	27 4.097611375023701	29 4.097611375023701	33 4.097611375023701	41 4.097611375023701	16 4.06990965922184	21 4.06575822346144	35 4.03325188591276	15 4.008443133902174	5 4.008101389580329	42 3.9232139217189124	24 3.711512487253269	38 3.665015031971751	22 3.621361897985707	23 3.0728603938077974	7 2.9855363133535127	3 2.838283821696929	
36 5.430391952783555	29 5.337934906740115	33 5.337934906740115	41 5.337934906740115	57 5.337934906740115	15 5.215685409763953	5 5.200702168148103	26 5.196373712297477	6 5.178557516037894	16 5.064009692105174	35 4.926591426815379	38 4.774394124375958	42 4.774394124375958	24 4.637204831268057	34 4.25738440277182	0 3.9760064614034487	23 3.9499015739497216	7 3.5043868684268324	31 3.432775381022889	22 3.2816242531878945	
4 4.315838001964781	25 4.206141360054282	27 4.206141360054282	29 4.206141360054282	33 4.206141360054282	41 4.206141360054282	57 4.206141360054282	26 4.176876911660161	36 4.124460936893555	5 4.112455569224332	16 4.066992556407707	35 3.9710432078138886	42 3.8705524305312453	38 3.762087201621917	24 3.616874225218073	34 3.2904188443404285	7 3.193421556710652	31 3.16817949655134	23 3.1496026821849963	0 2.6601973716819796	
6 6.2412959343203855	16 6.212264117837492	25 6.088618339037891	33 6.088618339037891	41 6.088618339037891	57 6.088618339037891	42 6.062555269461395	36 5.970381484917905	4 5.9694831700199895	15 5.926225918089299	21 5.880472164726964	5 5.854352341030025	24 5.368112089003657	32 5.328647577355372	39 4.450780350966205	31 4.311459760992249	23 4.305303315590466	7 3.515265437036419	3 3.138800287771252	22 2.722912899028117	
16 4.563308563905102	6 4.549530251114896	35 4.499917665408397	36 4.439819294795301	15 4.374539129298664	25 4.327745044197399	27 4.327745044197399	29 4.327745044197399	33 4.327745044197399	41 4.327745044197399	57 4.327745044197399	4 4.124780697650012	21 3.9553682687181375	32 3.8491252414040296	24 3.6107407066951325	39 3.337106294433969	31 3.334173925188224	23 3.2544350404699083	34 3.1938084889546676	22 2.829853612622559	
36 3.1380653097003828	25 3.0002112498181672	27 3.0002112498181672	29 3.0002112498181672	33 3.0002112498181672	41 3.0002112498181672	57 3.0002112498181672	4 2.9857611332484675	32 2.935120769966936	26 2.929424278137003	6 2.910632442862748	5 2.884774964681572	16 2.8462503033257525	35 2.7293451345726827	21 2.6834705205812095	42 2.6834705205812095	0 2.497500202217168	24 2.4496622275374333	22 2.2361624512905207	7 2.2107315333261823	
36 2.069228446827887	6 1.929869732015459	25 1.9102072456913368	27 1.9102072456913368	29 1.9102072456913368	33 1.9102072456913368	41 1.9102072456913368	57 1.9102072456913368	15 1.8592592043019702	35 1.8576150763179635	42 1.849962657228698	26 1.8049761873903338	4 1.8009606625333627	22 1.74869784149561	32 1.7266742654775538	21 1.7085413009913886	38 1.7085413009913886	24 1.5596776849703455	23 1.5449776693714745	34 1.350720496900022	
36 4.179920666772175	6 3.968251116087115	16 3.9457966284686457	27 3.8838139708282338	29 3.8838139708282338	33 3.8838139708282338	41 3.8838139708282338	57 3.8838139708282338	15 3.780226930531596	5 3.734380141133344	26 3.68418595825145	4 3.6795634697668915	21 3.507691995475166	38 3.473788820294126	32 3.39090094338436	24 3.202070051170097	0 3.056339631239993	34 2.799876822381586	23 2.746271195639696	31 2.7193639860534757	
4 5.548261710467715	36 5.451980031285961	32 5.425684665378823	25 5.359950513449062	27 5.359950513449062	29 5.359950513449062	33 5.359950513449062	41 5.359950513449062	57 5.359950513449062	5 5.347977949322452	15 5.3376882215735675	26 5.320835396634484	16 5.161592029371139	35 5.0328268871402315	42 4.90255071055213	34 4.3949602554958	31 3.9528303929787745	0 3.389930353657601	39 3.389930353657601	22 3.2914699318213168	
25 5.243251008815295	27 5.243251008815295	41 5.243251008815295	57 5.243251008815295	4 5.188225100589716	15 5.150563774408361	5 5.10966133283741	6 5.086700642581604	26 5.0723379908041615	16 4.974184659549579	35 4.788684096056765	21 4.689706271522139	42 4.689706271522139	24 4.281096521643539	23 3.8829499476579072	34 3.7075383437965015	7 3.698538510443811	31 3.626927023039868	0 3.316123106366385	39 3.316123106366385	
25 1.9805806756909203	27 1.9805806756909203	29 1.9805806756909203	41 1.9805806756909203	57 1.9805806756909203	15 1.9277556712482422	6 1.9214454884543202	5 1.9043757499114626	16 1.8789438074695772	26 1.8714728283494444	4 1.8673093686241122	35 1.801769202469763	21 1.7714852103069452	38 1.7714852103069452	42 1.7714852103069452	32 1.7196255890928693	24 1.617137349953162	23 1.400482026468084	34 1.400482026468084	0 1.2526292049797183	
16 4.319740347199896	42 4.307827751709276	6 4.289931598471894	35 4.2797610944145905	25 4.027622709496201	27 4.027622709496201	29 4.027622709496201	33 4.027622709496201	57 4.027622709496201	41 4.0276227094962005	15 3.920200078278037	5 3.8726556872426157	26 3.850289277505556	32 3.7994960607273427	22 3.765473619092316	21 3.707824521801103	24 3.3847652164354503	0 3.147292263565334	34 3.0146259966123665	23 2.8479593299457	
36 8.324976889430047	15 8.324621574048946	25 8.289843921882554	27 8.289843921882554	29 8.289843921882554	33 8.289843921882554	41 8.289843921882554	57 8.289843921882554	21 8.268277450204991	16 8.202420152628939	5 8.16514062556625	32 7.789409949337047	34 7.211489682287368	31 5.8726306695763295	39 5.842957648090365	3 4.9481147655836795	22 4.601758097438485	55 1.0687982423257425	0 1.0	2 1.0	
4 3.4895622558968395	24 3.477272978655617	26 3.391979036078862	25 3.1437071565148234	27 3.1437071565148234	29 3.1437071565148234	33 3.1437071565148234	41 3.1437071565148234	57 3.1437071565148234	6 3.141776811965178	16 3.1022482987188305	36 3.0826584877096868	15 3.059859855292699	5 3.02274971535884	42 2.981333037233089	38 2.811817161327886	32 2.748308277417161	0 2.5882549822316565	23 2.2229366484363107	31 2.0338642278333903	
36 5.260611302796366	25 5.1647919372770845	27 5.1647919372770845	29 5.1647919372770845	33 5.1647919372770845	41 5.1647919372770845	57 5.1647919372770845	4 5.155613184339668	15 5.140818999531565	16 5.09631417305681	5 5.034221056643756	42 4.8975114493722876	21 4.737948945211649	24 4.325135856000381	31 3.888933874009502	34 3.8392956499643347	23 3.8274710061276385	3 3.3718741028236208	0 3.266501232533818	39 3.266501232533818	
36 5.742244310133123	27 5.277077719637202	29 5.277077719637202	33 5.277077719637202	41 5.277077719637202	57 5.277077719637202	15 5.2299888637403535	26 5.1645439096034735	21 5.1415988228191285	16 5.082971994019043	5 5.074036600992995	35 4.964057814493242	32 4.9559382920792565	42 4.828427030372673	38 4.719961801463344	24 4.693616094833408	39 3.937516996756204	23 3.7314574404039083	31 3.656166347191204	3 3.1805738795420293	
4 5.527196039103311	6 5.479957819861985	26 5.4518574571510605	16 5.437800071452207	35 5.430923157078195	25 5.39861122880511	27 5.39861122880511	33 5.39861122880511	41 5.39861122880511	5 5.385151152970217	42 5.275878272180716	15 5.254622314015543	34 5.129404290676131	32 4.862718780267542	38 4.828664676680758	31 3.694239915390392	0 3.4143815369569124	39 3.4143815369569124	7 3.1168896462007663	3 2.699305614402555	
15 2.006121448047352	25 1.8944271909999157	27 1.8944271909999157	29 1.8944271909999157	33 1.8944271909999157	57 1.8944271909999157	36 1.8576386949979495	6 1.8378643314199565	5 1.8215371112083547	16 1.7972114354743707	26 1.7900654372515845	4 1.7860830842936313	35 1.7233938566396565	21 1.6944271909999156	42 1.6944271909999156	32 1.6448234168397802	24 1.5467933242679477	23 1.3395623132202235	34 1.3395623132202235	0 1.1981409569829138	
36 2.214694962151883	27 2.079669127533634	29 2.079669127533634	33 2.079669127533634	41 2.079669127533634	57 2.079669127533634	15 2.0242012881016747	6 2.0175754068605407	5 1.999651669292886	16 1.972947366762442	26 1.9651026145545232	4 1.9607308569377913	0 1.9152982445082947	35 1.891911716249631	21 1.8601126159491534	38 1.8601126159491534	42 1.8601126159491534	32 1.8056584578690351	24 1.6980427320921594	23 1.4705481427033433	
5 2.719995576289358	25 2.555930599001927	27 2.555930599001927	29 2.555930599001927	33 2.555930599001927	41 2.555930599001927	57 2.555930599001927	15 2.5078812554048007	4 2.4974602803259787	6 2.479616901513685	26 2.438567766296729	16 2.424768670249373	35 2.34398128187776	21 2.286093826056026	38 2.286093826056026	42 2.286093826056026	22 2.2128857078893347	24 2.0869085951736284	34 1.8073158587964568	7 1.762113168979537	
21 4.9224747272831575	4 4.812273108697798	36 4.809629358453572	41 4.704878790380702	25 4.704878790380701	27 4.704878790380701	29 4.704878790380701	33 4.704878790380701	16 4.540136426671013	5 4.523853627698433	35 4.493129912699231	34 4.456264234076527	42 4.316636749384621	38 4.208171520475292	32 4.128540196736428	23 3.3268516973389546	22 2.998512951237562	0 2.975626618524184	39 2.975626618524184	31 2.8563910445336598	
4 5.4060417555550195	6 5.338047300869993	16 5.300970505955666	25 5.246192247835164	27 5.246192247835164	29 5.246192247835164	33 5.246192247835164	41 5.246192247835164	57 5.246192247835164	35 5.214519252600473	26 5.185307459853795	32 5.16816275541847	36 5.144314739186673	21 5.008564761693577	38 4.692336995676739	24 4.572173167841766	0 3.9179833092555336	23 3.9038752863239936	7 3.8407826004594128	22 2.3461684978383697	
36 5.856114779603409	27 5.772088707007378	29 5.772088707007378	33 5.772088707007378	57 5.772088707007378	6 5.708213798186103	16 5.617305507441195	26 5.498654706085125	35 5.4383554055279095	21 5.268122343749891	32 5.187553252808133	38 5.162713088410945	24 4.809115738948001	23 4.2757402388066605	34 4.248149733001874	31 3.726798622012224	0 3.6505894341359233	39 3.6505894341359233	7 3.562258313423232	22 3.4757837352053884	
36 7.562630578743565	25 7.312400179021385	33 7.312400179021385	41 7.312400179021385	57 7.312400179021385	6 7.279231919533043	4 7.1662729264532725	26 7.127714746670055	5 7.031047886862103	35 7.02911002669804	24 6.44179906497612	32 6.369062398819623	23 5.170647753335745	22 5.059059157794521	31 4.66258928736248	0 4.6247679456661155	39 4.6247679456661155	7 4.315474792938433	3 3.6832369930324855	2 2.0	
36 3.695718427076994	27 3.3900226370820215	29 3.3900226370820215	57 3.3900226370820215	41 3.390022637082021	15 3.299605739117405	6 3.2888050366880233	5 3.259587948598859	26 3.2478138391038796	16 3.2160578558128723	21 3.1375376800503454	35 3.101831976879387	38 3.032128424711399	42 3.032128424711399	32 3.0310697082238427	24 2.864166937310002	34 2.563774661723266	23 2.3971079950565994	0 2.1440385705419147	39 2.1440385705419147	
36 7.026141895012012	25 6.786401487387625	29 6.786401487387625	33 6.786401487387625	15 6.7191778339604555	4 6.6666127878524115	6 6.660473004848967	5 6.593437472798102	35 6.32670785830888	42 6.211363375599073	21 6.154457444834615	38 6.069942019361763	24 5.618225286235877	23 4.974122115447669	34 4.932341132542474	31 4.648872706952341	0 4.29209716329987	39 4.29209716329987	3 4.182678877878891	2 1.8944271909999157	
36 2.7234160035923227	6 2.6404250423046687	16 2.627663339441249	27 2.5773502691896257	29 2.5773502691896257	33 2.5773502691896257	41 2.5773502691896257	4 2.5660319006038987	35 2.5635050907944628	42 2.563451051241315	15 2.508608540518167	5 2.4781840052843473	32 2.452601158288352	26 2.435367090636117	21 2.305252161494154	38 2.305252161494154	24 2.104397682646484	22 2.047053271746993	23 1.8224618528369578	34 1.8224618528369578	
36 6.641628253105723	21 6.633294090142168	5 6.602958479317965	25 6.594272974723064	27 6.594272974723064	29 6.594272974723064	33 6.594272974723064	57 6.594272974723064	41 6.594272974723063	26 6.5651200877768	16 6.5151473186254405	35 6.453137142900943	15 6.438515090617177	42 6.264761172124698	38 5.8980970534682085	34 5.8253037198698925	7 4.563067323503297	3 4.14925834355798	0 1.0	4 1.0	
4 7.376633301418858	36 7.348410713145356	16 7.122824690849717	35 7.102107779651895	27 7.093937924044489	33 7.093937924044489	57 7.093937924044489	15 6.998390729869621	42 6.900689794940173	5 6.820991197046204	24 6.748825346170634	32 6.469149264370949	38 6.345010970530886	31 5.146398580987341	23 5.016171611408277	22 4.961359867265275	0 4.486600283965427	39 4.486600283965427	3 4.026360259734302	18 2.0	
25 5.8856507204428885	29 5.8856507204428885	33 5.8856507204428885	41 5.8856507204428885	57 5.8856507204428885	6 5.878549295216491	5 5.853451287626754	4 5.733579923741504	15 5.728671744897252	26 5.7093745095041815	21 5.614416982290243	42 5.575223273234877	32 5.3043935767514085	38 5.264286041092364	24 5.125238047400749	39 4.3224123577620945	31 3.7995002684050765	7 3.3980820278038166	3 2.9428253602214443	22 2.807554624407588	
15 5.373888090739701	25 5.333806043725803	29 5.333806043725803	33 5.333806043725803	41 5.333806043725803	57 5.333806043725803	6 5.266484821969548	5 5.196732167483313	16 5.179958534094903	26 5.122283584367829	42 4.940217032933247	21 4.910013587548031	38 4.770701157028045	24 4.482208665928207	22 4.34961656437526	34 3.9918427164608627	39 3.973395139149038	23 3.9469820269137115	31 3.649235635616334	7 3.502003068254073	
6 8.428257959566043	25 8.402026855984332	27 8.402026855984332	29 8.402026855984332	33 8.402026855984332	41 8.402026855984332	57 8.402026855984332	4 8.089328225342326	32 7.425519672410671	24 7.150901284619748	34 6.444594179292949	23 6.135387338049462	31 5.510529597389439	0 5.313908365362803	39 5.313908365362803	7 4.9445710481991885	22 4.827339434613282	3 4.322541449766266	2 1.1961161351381842	18 1.1961161351381842	
36 6.525875771330653	25 6.455113580259473	27 6.455113580259473	33 6.455113580259473	41 6.455113580259473	4 6.384855456823903	6 6.262380027475009	21 6.174372298666579	16 6.123858440611217	35 5.9590692025731835	38 5.77362910717689	42 5.77362910717689	24 5.636404977357852	23 4.934123362263705	7 4.106966093986359	0 4.082572293740811	39 4.082572293740811	31 3.941696025424246	3 3.825838315043525	22 3.781241744588361	
2 2.0	18 2.0	22 1.7888543819998317	1 1.0	12 1.0	13 1.0	28 1.0	30 1.0	45 1.0	46 1.0	47 1.0	48 1.0	51 1.0	52 1.0	55 1.0	34 0.7071067811865475	31 0.5773502691896258	35 0.4548588261473421	21 0.4472135954999579	42 0.4472135954999579	
22 1.4354687932216958	36 1.3824283251565244	0 1.3651483716701105	42 1.3402820941907212	16 1.3302967433402213	35 1.3194257479875553	6 1.3137120330919012	4 1.2766986114397159	32 1.2652400524263483	25 1.2098058012233017	27 1.2098058012233017	29 1.2098058012233017	33 1.2098058012233017	41 1.2098058012233017	57 1.2098058012233017	15 1.177538498200109	5 1.1632572498709979	26 1.143159030257178	21 1.0820832044435602	38 1.0820832044435602	
36 3.9510337768704398	21 3.8722254501994193	4 3.8459817517048407	25 3.829279665425314	27 3.829279665425314	29 3.829279665425314	33 3.829279665425314	57 3.829279665425314	26 3.8073114133731853	6 3.7149469483713946	16 3.632773662153455	35 3.5593731115683807	24 3.5348420446996993	42 3.425011854699461	34 3.414816399668541	32 3.41301682406641	23 2.901966790953446	22 2.6069331183496463	0 2.4218491081023035	39 2.4218491081023035	
25 6.411796387947398	33 6.411796387947398	41 6.411796387947398	57 6.411796387947398	15 6.4030057534542655	6 6.220356178226098	26 6.187637072824102	16 6.08276414374631	35 5.884696074463379	38 5.734885032535199	42 5.734885032535199	32 5.722853968834009	24 5.514009059063788	34 5.016719138188522	23 4.72808187797647	39 4.655176095830873	7 3.8379351340584553	31 3.8379351340584553	3 3.5296997009040427	22 3.042854120129005	
4 3.76550937084965	32 3.73023339865744	26 3.4047310689541437	6 3.401460166413242	15 3.392838450366544	16 3.371864641171095	25 3.361807319565799	27 3.361807319565799	33 3.361807319565799	41 3.361807319565799	57 3.361807319565799	35 3.330745143730577	21 3.323119643539032	36 3.2965232929625126	42 3.2650907672693554	5 3.2324582451167214	24 3.0335793167580913	38 3.006891877522194	23 2.377156752707547	0 2.1261936368906933	
36 4.402368969357616	25 4.289553056157967	27 4.289553056157967	33 4.289553056157967	41 4.289553056157967	57 4.289553056157967	6 4.269942955316467	16 4.21084869671591	15 4.195265447629144	5 4.192657912541364	4 4.131935207622407	35 4.090604109472297	26 4.07668701233659	21 3.836692890664474	24 3.502405404061058	39 3.3129515603190667	23 3.2085836581301836	34 3.033172054268778	31 2.949607963634975	22 2.8127736363321527	
4 6.99848532341044	21 6.908918961446471	25 6.83294793164356	27 6.83294793164356	29 6.83294793164356	41 6.83294793164356	26 6.793468474045225	15 6.744361725060507	36 6.700256699771918	16 6.678865903455131	32 6.481473757915388	42 6.389555529563165	24 6.306951271932329	38 6.111574424748634	31 4.637209724195445	0 4.321535719466032	39 4.321535719466032	3 3.8013741452815304	22 3.055787212374317	5 1.0	
